start_time;end_time;duration_ms;direction_class;speedA;speedB;GPIO1;GPIO2;GPIO3;GPIO4
1751443224021;1751443224132;111;stop;50;50;0;0;0;0
1751443224132;1751443224382;250;stop;0;50;0;0;0;0
1751443226645;1751443226752;107;stop;0;50;0;0;0;0
1751443228148;1751443228269;121;stop;50;0;0;0;0;0
1751443229459;1751443229568;109;stop;50;0;0;0;0;0
1751443229568;1751443229696;128;stop;50;50;0;0;0;0
1751443229914;1751443230034;120;stop;50;50;0;0;0;0
1751443230034;1751443230230;196;stop;0;50;0;0;0;0
1751443232462;1751443232580;118;stop;0;50;0;0;0;0
1751443232580;1751443232717;137;stop;50;50;0;0;0;0
1751443235074;1751443235181;107;stop;0;50;0;0;0;0
1751443236893;1751443237001;108;stop;0;50;0;0;0;0
1751443237712;1751443237954;242;stop;0;50;0;0;0;0
1751443238124;1751443238243;119;stop;0;50;0;0;0;0
1751443238243;1751443238388;145;stop;50;50;0;0;0;0
1751443238388;1751443238547;159;stop;0;50;0;0;0;0
1751443238767;1751443238875;108;stop;0;50;0;0;0;0
1751443238875;1751443239109;234;stop;50;50;0;0;0;0
1751443239376;1751443239484;108;stop;0;50;0;0;0;0
1751443242078;1751443242194;116;stop;0;50;0;0;0;0
1751443243171;1751443243412;241;stop;50;50;0;0;0;0
1751443245880;1751443245990;110;stop;0;50;0;0;0;0
1751443245990;1751443246263;273;stop;50;50;0;0;0;0
1751443247754;1751443247928;174;stop;50;50;0;0;0;0
1751443249140;1751443249252;112;stop;0;50;0;0;0;0
1751443249252;1751443249434;182;stop;50;50;0;0;0;0
1751443249567;1751443249688;121;stop;50;50;0;0;0;0
1751443249688;1751443249825;137;stop;0;50;0;0;0;0
1751443252237;1751443252358;121;stop;0;50;0;0;0;0
1751443252358;1751443252604;246;stop;50;50;0;0;0;0
1751443253125;1751443253232;107;stop;50;50;0;0;0;0
1751443253232;1751443253461;229;stop;0;50;0;0;0;0
1751443255667;1751443255777;110;stop;0;50;0;0;0;0
1751443255777;1751443255879;102;stop;50;50;0;0;0;0
1751443255879;1751443256036;157;stop;0;50;0;0;0;0
1751443256298;1751443256407;109;stop;0;50;0;0;0;0
1751443257189;1751443257323;134;stop;50;50;0;0;0;0
1751443257323;1751443257427;104;stop;50;0;0;0;0;0
1751443258456;1751443258567;111;stop;50;0;0;0;0;0
1751443261902;1751443262000;98;stop;0;50;0;0;0;0
1751443263646;1751443263889;243;stop;50;50;0;0;0;0
1751443265744;1751443265952;208;stop;0;50;0;0;0;0
1751443266394;1751443266503;109;stop;0;50;0;0;0;0
1751443268882;1751443269165;283;stop;0;50;0;0;0;0
1751443271511;1751443271627;116;stop;0;50;0;0;0;0
1751443278580;1751443278808;228;stop;50;0;0;0;0;0
1751443281308;1751443281438;130;stop;0;50;0;0;0;0
1751443282794;1751443282918;124;stop;0;50;0;0;0;0
1751443282918;1751443283172;254;stop;50;50;0;0;0;0
1751443283783;1751443283899;116;stop;0;50;0;0;0;0
1751443284665;1751443284771;106;stop;0;50;0;0;0;0
1751443285897;1751443285998;101;stop;50;50;0;0;0;0
1751443285998;1751443286233;235;stop;0;50;0;0;0;0
1751443288352;1751443288468;116;stop;0;50;0;0;0;0
1751443290561;1751443290766;205;stop;50;0;0;0;0;0
1751443291848;1751443291958;110;stop;50;0;0;0;0;0
1751443292635;1751443292776;141;stop;0;50;0;0;0;0
1751443292776;1751443292917;141;stop;50;50;0;0;0;0
